MES,PAIS,CONTINENTE,OCM,NUMERO_VISITANTES
ABRIL,AFGHANISTÁN,ASIA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,5
ABRIL,AFGHANISTÁN,ASIA,CEBAF - TUMBES,0
ABRIL,AFGHANISTÁN,ASIA,DESAGUADERO,1
ABRIL,AFGHANISTÁN,ASIA,KASANI,0
ABRIL,AFGHANISTÁN,ASIA,OTRAS OCM,0
ABRIL,AFGHANISTÁN,ASIA,SANTA ROSA,17
ABRIL,ALBANIA,EUROPA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,37
ABRIL,ALBANIA,EUROPA,CEBAF - TUMBES,0
ABRIL,ALBANIA,EUROPA,DESAGUADERO,1
ABRIL,ALBANIA,EUROPA,KASANI,2
ABRIL,ALBANIA,EUROPA,OTRAS OCM,1
ABRIL,ALBANIA,EUROPA,SANTA ROSA,0
ABRIL,ALEMANIA,EUROPA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,22672
ABRIL,ALEMANIA,EUROPA,CEBAF - TUMBES,458
ABRIL,ALEMANIA,EUROPA,DESAGUADERO,1370
ABRIL,ALEMANIA,EUROPA,KASANI,1504
ABRIL,ALEMANIA,EUROPA,OTRAS OCM,1669
ABRIL,ALEMANIA,EUROPA,SANTA ROSA,525
ABRIL,ANDORRA,EUROPA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,54
ABRIL,ANDORRA,EUROPA,CEBAF - TUMBES,0
ABRIL,ANDORRA,EUROPA,DESAGUADERO,0
ABRIL,ANDORRA,EUROPA,KASANI,2
ABRIL,ANDORRA,EUROPA,OTRAS OCM,0
ABRIL,ANDORRA,EUROPA,SANTA ROSA,0
ABRIL,ANGOLA,ÁFRICA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,9
ABRIL,ANGOLA,ÁFRICA,CEBAF - TUMBES,0
ABRIL,ANGOLA,ÁFRICA,DESAGUADERO,0
ABRIL,ANGOLA,ÁFRICA,KASANI,0
ABRIL,ANGOLA,ÁFRICA,OTRAS OCM,0
ABRIL,ANGOLA,ÁFRICA,SANTA ROSA,0
ABRIL,ANT. BARBUDA,AMÉRICA CENTRAL,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,9
ABRIL,ANT. BARBUDA,AMÉRICA CENTRAL,CEBAF - TUMBES,0
ABRIL,ANT. BARBUDA,AMÉRICA CENTRAL,DESAGUADERO,0
ABRIL,ANT. BARBUDA,AMÉRICA CENTRAL,KASANI,0
ABRIL,ANT. BARBUDA,AMÉRICA CENTRAL,OTRAS OCM,0
ABRIL,ANT. BARBUDA,AMÉRICA CENTRAL,SANTA ROSA,0
ABRIL,ARABIA SAUDITA,ASIA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,100
ABRIL,ARABIA SAUDITA,ASIA,CEBAF - TUMBES,0
ABRIL,ARABIA SAUDITA,ASIA,DESAGUADERO,2
ABRIL,ARABIA SAUDITA,ASIA,KASANI,1
ABRIL,ARABIA SAUDITA,ASIA,OTRAS OCM,2
ABRIL,ARABIA SAUDITA,ASIA,SANTA ROSA,0
ABRIL,ARGELIA,ÁFRICA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,41
ABRIL,ARGELIA,ÁFRICA,CEBAF - TUMBES,0
ABRIL,ARGELIA,ÁFRICA,DESAGUADERO,0
ABRIL,ARGELIA,ÁFRICA,KASANI,0
ABRIL,ARGELIA,ÁFRICA,OTRAS OCM,0
ABRIL,ARGELIA,ÁFRICA,SANTA ROSA,0
ABRIL,ARGENTINA,AMÉRICA DEL SUR,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,44561
ABRIL,ARGENTINA,AMÉRICA DEL SUR,CEBAF - TUMBES,507
ABRIL,ARGENTINA,AMÉRICA DEL SUR,DESAGUADERO,1703
ABRIL,ARGENTINA,AMÉRICA DEL SUR,KASANI,849
ABRIL,ARGENTINA,AMÉRICA DEL SUR,OTRAS OCM,1405
ABRIL,ARGENTINA,AMÉRICA DEL SUR,SANTA ROSA,3687
ABRIL,ARMENIA,ASIA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,126
ABRIL,ARMENIA,ASIA,CEBAF - TUMBES,1
ABRIL,ARMENIA,ASIA,DESAGUADERO,2
ABRIL,ARMENIA,ASIA,KASANI,0
ABRIL,ARMENIA,ASIA,OTRAS OCM,1
ABRIL,ARMENIA,ASIA,SANTA ROSA,3
ABRIL,ARUBA,AMÉRICA CENTRAL,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,92
ABRIL,ARUBA,AMÉRICA CENTRAL,CEBAF - TUMBES,0
ABRIL,ARUBA,AMÉRICA CENTRAL,DESAGUADERO,0
ABRIL,ARUBA,AMÉRICA CENTRAL,KASANI,0
ABRIL,ARUBA,AMÉRICA CENTRAL,OTRAS OCM,4
ABRIL,ARUBA,AMÉRICA CENTRAL,SANTA ROSA,0
ABRIL,AUSTRALIA,OCEANÍA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,8903
ABRIL,AUSTRALIA,OCEANÍA,CEBAF - TUMBES,141
ABRIL,AUSTRALIA,OCEANÍA,DESAGUADERO,198
ABRIL,AUSTRALIA,OCEANÍA,KASANI,395
ABRIL,AUSTRALIA,OCEANÍA,OTRAS OCM,1082
ABRIL,AUSTRALIA,OCEANÍA,SANTA ROSA,80
ABRIL,AUSTRIA,EUROPA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,2234
ABRIL,AUSTRIA,EUROPA,CEBAF - TUMBES,48
ABRIL,AUSTRIA,EUROPA,DESAGUADERO,96
ABRIL,AUSTRIA,EUROPA,KASANI,144
ABRIL,AUSTRIA,EUROPA,OTRAS OCM,249
ABRIL,AUSTRIA,EUROPA,SANTA ROSA,52
ABRIL,AZERBAIYÁN,ASIA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,24
ABRIL,AZERBAIYÁN,ASIA,CEBAF - TUMBES,0
ABRIL,AZERBAIYÁN,ASIA,DESAGUADERO,1
ABRIL,AZERBAIYÁN,ASIA,KASANI,0
ABRIL,AZERBAIYÁN,ASIA,OTRAS OCM,0
ABRIL,AZERBAIYÁN,ASIA,SANTA ROSA,0
ABRIL,BAHAMAS,AMÉRICA CENTRAL,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,106
ABRIL,BAHAMAS,AMÉRICA CENTRAL,CEBAF - TUMBES,0
ABRIL,BAHAMAS,AMÉRICA CENTRAL,DESAGUADERO,0
ABRIL,BAHAMAS,AMÉRICA CENTRAL,KASANI,0
ABRIL,BAHAMAS,AMÉRICA CENTRAL,OTRAS OCM,2
ABRIL,BAHAMAS,AMÉRICA CENTRAL,SANTA ROSA,0
ABRIL,BAHRÉIN,ASIA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,25
ABRIL,BAHRÉIN,ASIA,CEBAF - TUMBES,0
ABRIL,BAHRÉIN,ASIA,DESAGUADERO,0
ABRIL,BAHRÉIN,ASIA,KASANI,0
ABRIL,BAHRÉIN,ASIA,OTRAS OCM,2
ABRIL,BAHRÉIN,ASIA,SANTA ROSA,0
ABRIL,BANGLADESH,ASIA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,50
ABRIL,BANGLADESH,ASIA,CEBAF - TUMBES,0
ABRIL,BANGLADESH,ASIA,DESAGUADERO,0
ABRIL,BANGLADESH,ASIA,KASANI,0
ABRIL,BANGLADESH,ASIA,OTRAS OCM,3
ABRIL,BANGLADESH,ASIA,SANTA ROSA,0
ABRIL,BARBADOS,AMÉRICA CENTRAL,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,154
ABRIL,BARBADOS,AMÉRICA CENTRAL,CEBAF - TUMBES,0
ABRIL,BARBADOS,AMÉRICA CENTRAL,DESAGUADERO,0
ABRIL,BARBADOS,AMÉRICA CENTRAL,KASANI,1
ABRIL,BARBADOS,AMÉRICA CENTRAL,OTRAS OCM,3
ABRIL,BARBADOS,AMÉRICA CENTRAL,SANTA ROSA,1
ABRIL,BELICE,AMÉRICA CENTRAL,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,165
ABRIL,BELICE,AMÉRICA CENTRAL,CEBAF - TUMBES,6
ABRIL,BELICE,AMÉRICA CENTRAL,DESAGUADERO,2
ABRIL,BELICE,AMÉRICA CENTRAL,KASANI,2
ABRIL,BELICE,AMÉRICA CENTRAL,OTRAS OCM,0
ABRIL,BELICE,AMÉRICA CENTRAL,SANTA ROSA,0
ABRIL,BELORUSIA,EUROPA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,209
ABRIL,BELORUSIA,EUROPA,CEBAF - TUMBES,1
ABRIL,BELORUSIA,EUROPA,DESAGUADERO,11
ABRIL,BELORUSIA,EUROPA,KASANI,2
ABRIL,BELORUSIA,EUROPA,OTRAS OCM,5
ABRIL,BELORUSIA,EUROPA,SANTA ROSA,0
ABRIL,BENÍN,ÁFRICA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,2
ABRIL,BENÍN,ÁFRICA,CEBAF - TUMBES,2
ABRIL,BENÍN,ÁFRICA,DESAGUADERO,0
ABRIL,BENÍN,ÁFRICA,KASANI,0
ABRIL,BENÍN,ÁFRICA,OTRAS OCM,0
ABRIL,BENÍN,ÁFRICA,SANTA ROSA,0
ABRIL,BERMUDAS,AMÉRICA CENTRAL,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,8
ABRIL,BERMUDAS,AMÉRICA CENTRAL,CEBAF - TUMBES,0
ABRIL,BERMUDAS,AMÉRICA CENTRAL,DESAGUADERO,0
ABRIL,BERMUDAS,AMÉRICA CENTRAL,KASANI,0
ABRIL,BERMUDAS,AMÉRICA CENTRAL,OTRAS OCM,0
ABRIL,BERMUDAS,AMÉRICA CENTRAL,SANTA ROSA,0
ABRIL,BHUTÁN,ASIA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,4
ABRIL,BHUTÁN,ASIA,CEBAF - TUMBES,0
ABRIL,BHUTÁN,ASIA,DESAGUADERO,0
ABRIL,BHUTÁN,ASIA,KASANI,0
ABRIL,BHUTÁN,ASIA,OTRAS OCM,0
ABRIL,BHUTÁN,ASIA,SANTA ROSA,0
ABRIL,BOLIVIA,AMÉRICA DEL SUR,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,8613
ABRIL,BOLIVIA,AMÉRICA DEL SUR,CEBAF - TUMBES,155
ABRIL,BOLIVIA,AMÉRICA DEL SUR,DESAGUADERO,39189
ABRIL,BOLIVIA,AMÉRICA DEL SUR,KASANI,4412
ABRIL,BOLIVIA,AMÉRICA DEL SUR,OTRAS OCM,2431
ABRIL,BOLIVIA,AMÉRICA DEL SUR,SANTA ROSA,10920
ABRIL,BOSNIA Y HERZEGOVINA,EUROPA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,30
ABRIL,BOSNIA Y HERZEGOVINA,EUROPA,CEBAF - TUMBES,0
ABRIL,BOSNIA Y HERZEGOVINA,EUROPA,DESAGUADERO,2
ABRIL,BOSNIA Y HERZEGOVINA,EUROPA,KASANI,1
ABRIL,BOSNIA Y HERZEGOVINA,EUROPA,OTRAS OCM,1
ABRIL,BOSNIA Y HERZEGOVINA,EUROPA,SANTA ROSA,0
ABRIL,BOTSWANA,ÁFRICA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,2
ABRIL,BOTSWANA,ÁFRICA,CEBAF - TUMBES,0
ABRIL,BOTSWANA,ÁFRICA,DESAGUADERO,0
ABRIL,BOTSWANA,ÁFRICA,KASANI,0
ABRIL,BOTSWANA,ÁFRICA,OTRAS OCM,0
ABRIL,BOTSWANA,ÁFRICA,SANTA ROSA,0
ABRIL,BRASIL,AMÉRICA DEL SUR,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,54838
ABRIL,BRASIL,AMÉRICA DEL SUR,CEBAF - TUMBES,111
ABRIL,BRASIL,AMÉRICA DEL SUR,DESAGUADERO,917
ABRIL,BRASIL,AMÉRICA DEL SUR,KASANI,606
ABRIL,BRASIL,AMÉRICA DEL SUR,OTRAS OCM,6152
ABRIL,BRASIL,AMÉRICA DEL SUR,SANTA ROSA,2496
ABRIL,BRUNÉI,ASIA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,7
ABRIL,BRUNÉI,ASIA,CEBAF - TUMBES,0
ABRIL,BRUNÉI,ASIA,DESAGUADERO,0
ABRIL,BRUNÉI,ASIA,KASANI,0
ABRIL,BRUNÉI,ASIA,OTRAS OCM,0
ABRIL,BRUNÉI,ASIA,SANTA ROSA,0
ABRIL,BULGARIA,EUROPA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,767
ABRIL,BULGARIA,EUROPA,CEBAF - TUMBES,45
ABRIL,BULGARIA,EUROPA,DESAGUADERO,35
ABRIL,BULGARIA,EUROPA,KASANI,24
ABRIL,BULGARIA,EUROPA,OTRAS OCM,90
ABRIL,BULGARIA,EUROPA,SANTA ROSA,6
ABRIL,BURKINA FASO,ÁFRICA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,7
ABRIL,BURKINA FASO,ÁFRICA,CEBAF - TUMBES,0
ABRIL,BURKINA FASO,ÁFRICA,DESAGUADERO,0
ABRIL,BURKINA FASO,ÁFRICA,KASANI,0
ABRIL,BURKINA FASO,ÁFRICA,OTRAS OCM,0
ABRIL,BURKINA FASO,ÁFRICA,SANTA ROSA,0
ABRIL,BURUNDI,ÁFRICA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,1
ABRIL,BURUNDI,ÁFRICA,CEBAF - TUMBES,0
ABRIL,BURUNDI,ÁFRICA,DESAGUADERO,0
ABRIL,BURUNDI,ÁFRICA,KASANI,0
ABRIL,BURUNDI,ÁFRICA,OTRAS OCM,0
ABRIL,BURUNDI,ÁFRICA,SANTA ROSA,0
ABRIL,BÉLGICA,EUROPA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,4498
ABRIL,BÉLGICA,EUROPA,CEBAF - TUMBES,74
ABRIL,BÉLGICA,EUROPA,DESAGUADERO,177
ABRIL,BÉLGICA,EUROPA,KASANI,211
ABRIL,BÉLGICA,EUROPA,OTRAS OCM,199
ABRIL,BÉLGICA,EUROPA,SANTA ROSA,61
ABRIL,CABO VERDE,ÁFRICA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,3
ABRIL,CABO VERDE,ÁFRICA,CEBAF - TUMBES,0
ABRIL,CABO VERDE,ÁFRICA,DESAGUADERO,0
ABRIL,CABO VERDE,ÁFRICA,KASANI,0
ABRIL,CABO VERDE,ÁFRICA,OTRAS OCM,2
ABRIL,CABO VERDE,ÁFRICA,SANTA ROSA,0
ABRIL,CAMBOYA,ASIA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,4
ABRIL,CAMBOYA,ASIA,CEBAF - TUMBES,0
ABRIL,CAMBOYA,ASIA,DESAGUADERO,0
ABRIL,CAMBOYA,ASIA,KASANI,0
ABRIL,CAMBOYA,ASIA,OTRAS OCM,0
ABRIL,CAMBOYA,ASIA,SANTA ROSA,0
ABRIL,CAMERÚN,ÁFRICA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,22
ABRIL,CAMERÚN,ÁFRICA,CEBAF - TUMBES,0
ABRIL,CAMERÚN,ÁFRICA,DESAGUADERO,0
ABRIL,CAMERÚN,ÁFRICA,KASANI,0
ABRIL,CAMERÚN,ÁFRICA,OTRAS OCM,1
ABRIL,CAMERÚN,ÁFRICA,SANTA ROSA,0
ABRIL,CANADÁ,AMÉRICA DEL NORTE,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,26103
ABRIL,CANADÁ,AMÉRICA DEL NORTE,CEBAF - TUMBES,167
ABRIL,CANADÁ,AMÉRICA DEL NORTE,DESAGUADERO,244
ABRIL,CANADÁ,AMÉRICA DEL NORTE,KASANI,295
ABRIL,CANADÁ,AMÉRICA DEL NORTE,OTRAS OCM,888
ABRIL,CANADÁ,AMÉRICA DEL NORTE,SANTA ROSA,119
ABRIL,CEYLÁN,ASIA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,0
ABRIL,CEYLÁN,ASIA,CEBAF - TUMBES,0
ABRIL,CEYLÁN,ASIA,DESAGUADERO,0
ABRIL,CEYLÁN,ASIA,KASANI,0
ABRIL,CEYLÁN,ASIA,OTRAS OCM,0
ABRIL,CEYLÁN,ASIA,SANTA ROSA,0
ABRIL,CHAD,ÁFRICA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,0
ABRIL,CHAD,ÁFRICA,CEBAF - TUMBES,0
ABRIL,CHAD,ÁFRICA,DESAGUADERO,0
ABRIL,CHAD,ÁFRICA,KASANI,0
ABRIL,CHAD,ÁFRICA,OTRAS OCM,0
ABRIL,CHAD,ÁFRICA,SANTA ROSA,1
ABRIL,CHILE,AMÉRICA DEL SUR,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,82573
ABRIL,CHILE,AMÉRICA DEL SUR,CEBAF - TUMBES,988
ABRIL,CHILE,AMÉRICA DEL SUR,DESAGUADERO,440
ABRIL,CHILE,AMÉRICA DEL SUR,KASANI,198
ABRIL,CHILE,AMÉRICA DEL SUR,OTRAS OCM,8015
ABRIL,CHILE,AMÉRICA DEL SUR,SANTA ROSA,314981
ABRIL,CHINA (R.P),ASIA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,10230
ABRIL,CHINA (R.P),ASIA,CEBAF - TUMBES,63
ABRIL,CHINA (R.P),ASIA,DESAGUADERO,86
ABRIL,CHINA (R.P),ASIA,KASANI,75
ABRIL,CHINA (R.P),ASIA,OTRAS OCM,756
ABRIL,CHINA (R.P),ASIA,SANTA ROSA,127
ABRIL,CHIPRE,EUROPA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,190
ABRIL,CHIPRE,EUROPA,CEBAF - TUMBES,0
ABRIL,CHIPRE,EUROPA,DESAGUADERO,9
ABRIL,CHIPRE,EUROPA,KASANI,0
ABRIL,CHIPRE,EUROPA,OTRAS OCM,14
ABRIL,CHIPRE,EUROPA,SANTA ROSA,0
ABRIL,COLOMBIA,AMÉRICA DEL SUR,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,58310
ABRIL,COLOMBIA,AMÉRICA DEL SUR,CEBAF - TUMBES,9090
ABRIL,COLOMBIA,AMÉRICA DEL SUR,DESAGUADERO,987
ABRIL,COLOMBIA,AMÉRICA DEL SUR,KASANI,422
ABRIL,COLOMBIA,AMÉRICA DEL SUR,OTRAS OCM,4620
ABRIL,COLOMBIA,AMÉRICA DEL SUR,SANTA ROSA,4600
ABRIL,COMORAS (ISL),ÁFRICA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,0
ABRIL,COMORAS (ISL),ÁFRICA,CEBAF - TUMBES,0
ABRIL,COMORAS (ISL),ÁFRICA,DESAGUADERO,0
ABRIL,COMORAS (ISL),ÁFRICA,KASANI,0
ABRIL,COMORAS (ISL),ÁFRICA,OTRAS OCM,0
ABRIL,COMORAS (ISL),ÁFRICA,SANTA ROSA,0
ABRIL,CONGO,ÁFRICA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,3
ABRIL,CONGO,ÁFRICA,CEBAF - TUMBES,0
ABRIL,CONGO,ÁFRICA,DESAGUADERO,0
ABRIL,CONGO,ÁFRICA,KASANI,0
ABRIL,CONGO,ÁFRICA,OTRAS OCM,0
ABRIL,CONGO,ÁFRICA,SANTA ROSA,0
ABRIL,COREA DEL NORTE,ASIA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,6
ABRIL,COREA DEL NORTE,ASIA,CEBAF - TUMBES,1
ABRIL,COREA DEL NORTE,ASIA,DESAGUADERO,1
ABRIL,COREA DEL NORTE,ASIA,KASANI,0
ABRIL,COREA DEL NORTE,ASIA,OTRAS OCM,0
ABRIL,COREA DEL NORTE,ASIA,SANTA ROSA,0
ABRIL,COREA DEL SUR,ASIA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,4635
ABRIL,COREA DEL SUR,ASIA,CEBAF - TUMBES,51
ABRIL,COREA DEL SUR,ASIA,DESAGUADERO,144
ABRIL,COREA DEL SUR,ASIA,KASANI,95
ABRIL,COREA DEL SUR,ASIA,OTRAS OCM,245
ABRIL,COREA DEL SUR,ASIA,SANTA ROSA,42
ABRIL,COSTA MARFIL,ÁFRICA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,3
ABRIL,COSTA MARFIL,ÁFRICA,CEBAF - TUMBES,0
ABRIL,COSTA MARFIL,ÁFRICA,DESAGUADERO,0
ABRIL,COSTA MARFIL,ÁFRICA,KASANI,0
ABRIL,COSTA MARFIL,ÁFRICA,OTRAS OCM,0
ABRIL,COSTA MARFIL,ÁFRICA,SANTA ROSA,0
ABRIL,COSTA RICA,AMÉRICA CENTRAL,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,10037
ABRIL,COSTA RICA,AMÉRICA CENTRAL,CEBAF - TUMBES,18
ABRIL,COSTA RICA,AMÉRICA CENTRAL,DESAGUADERO,66
ABRIL,COSTA RICA,AMÉRICA CENTRAL,KASANI,36
ABRIL,COSTA RICA,AMÉRICA CENTRAL,OTRAS OCM,446
ABRIL,COSTA RICA,AMÉRICA CENTRAL,SANTA ROSA,16
ABRIL,CROACIA,EUROPA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,435
ABRIL,CROACIA,EUROPA,CEBAF - TUMBES,6
ABRIL,CROACIA,EUROPA,DESAGUADERO,16
ABRIL,CROACIA,EUROPA,KASANI,29
ABRIL,CROACIA,EUROPA,OTRAS OCM,42
ABRIL,CROACIA,EUROPA,SANTA ROSA,4
ABRIL,CUBA,AMÉRICA CENTRAL,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,2232
ABRIL,CUBA,AMÉRICA CENTRAL,CEBAF - TUMBES,23
ABRIL,CUBA,AMÉRICA CENTRAL,DESAGUADERO,2
ABRIL,CUBA,AMÉRICA CENTRAL,KASANI,2
ABRIL,CUBA,AMÉRICA CENTRAL,OTRAS OCM,26
ABRIL,CUBA,AMÉRICA CENTRAL,SANTA ROSA,52
ABRIL,DEMOC. REP. CONGO (ZAIRE),ÁFRICA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,1
ABRIL,DEMOC. REP. CONGO (ZAIRE),ÁFRICA,CEBAF - TUMBES,0
ABRIL,DEMOC. REP. CONGO (ZAIRE),ÁFRICA,DESAGUADERO,0
ABRIL,DEMOC. REP. CONGO (ZAIRE),ÁFRICA,KASANI,0
ABRIL,DEMOC. REP. CONGO (ZAIRE),ÁFRICA,OTRAS OCM,0
ABRIL,DEMOC. REP. CONGO (ZAIRE),ÁFRICA,SANTA ROSA,0
ABRIL,DINAMARCA,EUROPA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,2189
ABRIL,DINAMARCA,EUROPA,CEBAF - TUMBES,247
ABRIL,DINAMARCA,EUROPA,DESAGUADERO,222
ABRIL,DINAMARCA,EUROPA,KASANI,213
ABRIL,DINAMARCA,EUROPA,OTRAS OCM,183
ABRIL,DINAMARCA,EUROPA,SANTA ROSA,32
ABRIL,DJIBOUTI,ÁFRICA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,1
ABRIL,DJIBOUTI,ÁFRICA,CEBAF - TUMBES,0
ABRIL,DJIBOUTI,ÁFRICA,DESAGUADERO,0
ABRIL,DJIBOUTI,ÁFRICA,KASANI,0
ABRIL,DJIBOUTI,ÁFRICA,OTRAS OCM,0
ABRIL,DJIBOUTI,ÁFRICA,SANTA ROSA,0
ABRIL,DOMINICA,AMÉRICA CENTRAL,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,28
ABRIL,DOMINICA,AMÉRICA CENTRAL,CEBAF - TUMBES,2
ABRIL,DOMINICA,AMÉRICA CENTRAL,DESAGUADERO,0
ABRIL,DOMINICA,AMÉRICA CENTRAL,KASANI,0
ABRIL,DOMINICA,AMÉRICA CENTRAL,OTRAS OCM,3
ABRIL,DOMINICA,AMÉRICA CENTRAL,SANTA ROSA,2
ABRIL,ECUADOR,AMÉRICA DEL SUR,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,21939
ABRIL,ECUADOR,AMÉRICA DEL SUR,CEBAF - TUMBES,88821
ABRIL,ECUADOR,AMÉRICA DEL SUR,DESAGUADERO,587
ABRIL,ECUADOR,AMÉRICA DEL SUR,KASANI,197
ABRIL,ECUADOR,AMÉRICA DEL SUR,OTRAS OCM,12646
ABRIL,ECUADOR,AMÉRICA DEL SUR,SANTA ROSA,3564
ABRIL,EE.UU,AMÉRICA DEL NORTE,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,227935
ABRIL,EE.UU,AMÉRICA DEL NORTE,CEBAF - TUMBES,551
ABRIL,EE.UU,AMÉRICA DEL NORTE,DESAGUADERO,368
ABRIL,EE.UU,AMÉRICA DEL NORTE,KASANI,329
ABRIL,EE.UU,AMÉRICA DEL NORTE,OTRAS OCM,4609
ABRIL,EE.UU,AMÉRICA DEL NORTE,SANTA ROSA,571
ABRIL,EGIPTO,ÁFRICA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,123
ABRIL,EGIPTO,ÁFRICA,CEBAF - TUMBES,1
ABRIL,EGIPTO,ÁFRICA,DESAGUADERO,0
ABRIL,EGIPTO,ÁFRICA,KASANI,1
ABRIL,EGIPTO,ÁFRICA,OTRAS OCM,4
ABRIL,EGIPTO,ÁFRICA,SANTA ROSA,0
ABRIL,EL SALVADOR,AMÉRICA CENTRAL,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,2932
ABRIL,EL SALVADOR,AMÉRICA CENTRAL,CEBAF - TUMBES,5
ABRIL,EL SALVADOR,AMÉRICA CENTRAL,DESAGUADERO,9
ABRIL,EL SALVADOR,AMÉRICA CENTRAL,KASANI,5
ABRIL,EL SALVADOR,AMÉRICA CENTRAL,OTRAS OCM,40
ABRIL,EL SALVADOR,AMÉRICA CENTRAL,SANTA ROSA,4
ABRIL,EMIRATOS ÁRABES UNIDOS,ASIA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,85
ABRIL,EMIRATOS ÁRABES UNIDOS,ASIA,CEBAF - TUMBES,0
ABRIL,EMIRATOS ÁRABES UNIDOS,ASIA,DESAGUADERO,1
ABRIL,EMIRATOS ÁRABES UNIDOS,ASIA,KASANI,0
ABRIL,EMIRATOS ÁRABES UNIDOS,ASIA,OTRAS OCM,6
ABRIL,EMIRATOS ÁRABES UNIDOS,ASIA,SANTA ROSA,0
ABRIL,ERITREA,ÁFRICA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,4
ABRIL,ERITREA,ÁFRICA,CEBAF - TUMBES,0
ABRIL,ERITREA,ÁFRICA,DESAGUADERO,0
ABRIL,ERITREA,ÁFRICA,KASANI,0
ABRIL,ERITREA,ÁFRICA,OTRAS OCM,0
ABRIL,ERITREA,ÁFRICA,SANTA ROSA,0
ABRIL,ESLOVAQUIA,EUROPA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,1045
ABRIL,ESLOVAQUIA,EUROPA,CEBAF - TUMBES,10
ABRIL,ESLOVAQUIA,EUROPA,DESAGUADERO,103
ABRIL,ESLOVAQUIA,EUROPA,KASANI,69
ABRIL,ESLOVAQUIA,EUROPA,OTRAS OCM,69
ABRIL,ESLOVAQUIA,EUROPA,SANTA ROSA,6
ABRIL,ESLOVENIA,EUROPA,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,742
ABRIL,ESLOVENIA,EUROPA,CEBAF - TUMBES,3
ABRIL,ESLOVENIA,EUROPA,DESAGUADERO,3
ABRIL,ESLOVENIA,EUROPA,KASANI,25
ABRIL,ESLOVENIA,EUROPA,OTRAS OCM,15
