ID_MES,DEPARTAMENTO,SITIO_TURISTICO,NUMERO_VISITANTES
1,LA LIBERTAD,COMPLEJO ARQUEOLÓGICO HUACA DEL SOL Y DE LA LUNA,1570.7142857142858
1,LA LIBERTAD,COMPLEJO ARQUEOLÓGICO HUACA EL BRUJO,363.2857142857143
1,LA LIBERTAD,MUSEO DE SITIO CHAN CHAN,402.7142857142857
1,LA LIBERTAD,"PALACIO NIKÁN ""CASA DEL CENTRO""",1255.142857142857
1,LAMBAYEQUE,MUSEO DE SITIO DE TÚCUME,194.71428571428572
1,LAMBAYEQUE,MUSEO DE SITIO HUACA CHOTUNA-CHORNACAP,7.857142857142857
1,LAMBAYEQUE,MUSEO DE SITIO HUACA RAJADA SIPÁN,138.71428571428572
1,LAMBAYEQUE,MUSEO DE TUMBAS REALES DEL SEÑOR DE SIPÁN,565.1428571428571
1,LAMBAYEQUE,MUSEO NACIONAL DE ARQUEOLOGÍA Y ETNOGRAFÍA HEINRICH BRÜNING,200.57142857142858
1,LAMBAYEQUE,MUSEO NACIONAL DE SICÁN,80.71428571428571
1,LAMBAYEQUE,REFUGIO DE VIDA SILVESTRE DE LAQUIPAMPA,5.166666666666667
1,LAMBAYEQUE,SANTUARIO HISTÓRICO BOSQUE DE PÓMAC,43.57142857142857
1,LIMA,CASA MUSEO JOSÉ CARLOS MARIÁTEGUI,19.285714285714285
1,LIMA,CENTRO TURÍSTICO CASTILLO DE CHANCAY,0.0
1,LIMA,CIRCUITO MÁGICO DEL AGUA DEL PARQUE DE LA RESERVA,11646.857142857143
1,LIMA,CIUDAD SAGRADA DE CARAL,119.28571428571429
1,LIMA,COMPLEJO ARQUEOLÓGICO MATEO SALADO,94.85714285714286
1,LIMA,"LUGAR DE LA MEMORIA, LA TOLERANCIA Y LA INCLUSIÓN SOCIAL",683.8571428571429
1,LIMA,MUSEO DE ARTE ITALIANO,80.14285714285714
1,LIMA,MUSEO DE LA NACIÓN,408.6666666666667
1,LIMA,MUSEO DE LOS COMBATIENTES DEL MORRO DE ARICA,1.6666666666666667
1,LIMA,"MUSEO DE SITIO ""EL MIRADOR DEL CERRO SAN CRISTÓBAL""",7.571428571428571
1,LIMA,MUSEO DE SITIO ANDRÉS AVELINO CÁCERES,2.0
1,LIMA,MUSEO DE SITIO ARTURO JIMÉMEZ BORJA - PURUCHUCO,1.8571428571428572
1,LIMA,MUSEO DE SITIO HUACA PUCLLANA,6360.857142857143
1,LIMA,MUSEO DE SITIO HUALLAMARCA,425.42857142857144
1,LIMA,MUSEO DE SITIO PACHACAMAC,1777.4285714285713
1,LIMA,MUSEO DEL EJÉRCITO CONTEMPORÁNEO CHAVÍN DE HUÁNTAR,0.0
1,LIMA,MUSEO NACIONAL DE ARQUEOLOGÍA,1030.2857142857142
1,LIMA,MUSEO NACIONAL DE LA CULTURA PERUANA,38.714285714285715
1,LIMA,MUSEO NAVAL CASA GRAU,55.333333333333336
1,LIMA,REFUGIO DE VIDA SILVESTRE PANTANOS DE VILLA,73.14285714285714
1,LIMA,RESERVA NACIONAL DE LACHAY,7.142857142857143
1,LIMA,RESERVA PAISAJÍSTICA NOR YAUYOS - COCHAS,69.85714285714286
1,LIMA,ZONA ARQUEOLÓGICA DE HUAYCÁN DE CIENEGUILLA,4.714285714285714
1,LORETO,COMPLEJO TURÍSTICO DE QUISTOCOCHA,49.285714285714285
1,LORETO,MUSEO AMÉRICA,0.0
1,LORETO,RESERVA ALLPAHUAYO-MISHANA,19.142857142857142
1,LORETO,RESERVA NACIONAL DE PACAYA SAMIRIA,775.7142857142857
1,LORETO,ZONA RESERVADA SIERRA DIVISOR,97.0
1,MADRE DE DIOS,PARQUE NACIONAL DEL MANU,50.57142857142857
1,MADRE DE DIOS,RESERVA NACIONAL DE TAMBOPATA,1485.857142857143
1,MOQUEGUA,MUSEO CONTISUYO,33.42857142857143
1,MOQUEGUA,"RESERVA NACIONAL DE ISLAS, ISLOTES Y PUNTAS GUANERAS-PUNTA COLES",4.714285714285714
1,PASCO,PARQUE NACIONAL YANACHAGA CHEMILLÉN,9.571428571428571
1,PASCO,SANTUARIO NACIONAL DE HUAYLLAY,18.142857142857142
1,PIURA,CASA MUSEO GRAN ALMIRANTE GRAU,60.8
1,PIURA,SALA DE ORO DEL MUSEO MUNICIPAL,2.7142857142857144
1,PIURA,ZONA ARQUEOLÓGICA Y MUSEO DE SITIO NARIHUALÁ,19.142857142857142
1,PUNO,COMPLEJO ARQUEOLÓGICO DE SILLUSTANI,1524.4285714285713
1,PUNO,COMPLEJO ARQUEOLÓGICO Y MUSEO DE PUKARÁ,860.7142857142857
1,PUNO,ISLA AMANTANI DEL LAGO TITICACA,701.8571428571429
1,PUNO,ISLA TAQUILE DEL LAGO TITICACA,1930.2857142857142
1,PUNO,ISLA UROS DEL LAGO TITICACA,731.1428571428571
1,PUNO,MUSEO TEMPLO SAN JUAN DE LETRÁN,7.571428571428571
1,PUNO,RESERVA NACIONAL DEL TITICACA,2946.285714285714
1,SAN MARTÃN,AGUAJAL RENACAL RÍO ROMERO SANTA ELENA,30.428571428571427
1,SAN MARTÃN,CATARATA DE AHUASHIYACU,195.42857142857142
1,SAN MARTÃN,CUEVA DE PALESTINA,13.571428571428571
1,SAN MARTÃN,LAGUNA AZUL - SAUCE,206.42857142857142
1,SAN MARTÃN,LOS BAÑOS TERMALES DE SAN MATEO,142.57142857142858
1,SAN MARTÃN,RECREO TURÍSTICO NACIENTE DE TIOYACU,124.28571428571429
1,SAN MARTÃN,RESERVA ECOLÓGICA TINGANA,29.571428571428573
