FECHA_CORTE;ANIO;ID_MES;MES;ID_PAIS;PAIS;ID_CONTINENTE;CONTINENTE;ID_OCM;OCM;DEPARTAMENTO_OCM;NUMERO_VISITANTES;BLOQUE;TIPO_VISITANTE
20260330;2023;8;AGOSTO;116;MALAWI;6;ÁFRICA;1;AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA Y CALLAO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;116;MALAWI;6;ÁFRICA;2;SANTA ROSA;TACNA;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;116;MALAWI;6;ÁFRICA;3;DESAGUADERO;PUNO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;116;MALAWI;6;ÁFRICA;4;KASANI;PUNO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;116;MALAWI;6;ÁFRICA;5;CEBAF - TUMBES;TUMBES;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;116;MALAWI;6;ÁFRICA;6;OTRAS OCM;-;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;117;MALDIVAS;5;ASIA;1;AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA Y CALLAO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;158;SAMOA OCCIDENTAL;7;OCEANÍA;4;KASANI;PUNO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;158;SAMOA OCCIDENTAL;7;OCEANÍA;5;CEBAF - TUMBES;TUMBES;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;158;SAMOA OCCIDENTAL;7;OCEANÍA;6;OTRAS OCM;-;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;159;SAN MARINO;4;EUROPA;1;AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA Y CALLAO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;159;SAN MARINO;4;EUROPA;2;SANTA ROSA;TACNA;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;159;SAN MARINO;4;EUROPA;3;DESAGUADERO;PUNO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;159;SAN MARINO;4;EUROPA;4;KASANI;PUNO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;159;SAN MARINO;4;EUROPA;5;CEBAF - TUMBES;TUMBES;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;159;SAN MARINO;4;EUROPA;6;OTRAS OCM;-;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;160;SAN VIC. GRANADINAS;2;AMÉRICA CENTRAL;1;AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA Y CALLAO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;160;SAN VIC. GRANADINAS;2;AMÉRICA CENTRAL;2;SANTA ROSA;TACNA;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;160;SAN VIC. GRANADINAS;2;AMÉRICA CENTRAL;3;DESAGUADERO;PUNO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;160;SAN VIC. GRANADINAS;2;AMÉRICA CENTRAL;4;KASANI;PUNO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;160;SAN VIC. GRANADINAS;2;AMÉRICA CENTRAL;5;CEBAF - TUMBES;TUMBES;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;160;SAN VIC. GRANADINAS;2;AMÉRICA CENTRAL;6;OTRAS OCM;-;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;161;SANTA LUCÍA;2;AMÉRICA CENTRAL;1;AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA Y CALLAO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;161;SANTA LUCÍA;2;AMÉRICA CENTRAL;2;SANTA ROSA;TACNA;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;161;SANTA LUCÍA;2;AMÉRICA CENTRAL;3;DESAGUADERO;PUNO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;161;SANTA LUCÍA;2;AMÉRICA CENTRAL;4;KASANI;PUNO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;161;SANTA LUCÍA;2;AMÉRICA CENTRAL;5;CEBAF - TUMBES;TUMBES;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;161;SANTA LUCÍA;2;AMÉRICA CENTRAL;6;OTRAS OCM;-;1;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;162;SENEGAL;6;ÁFRICA;1;AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA Y CALLAO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;162;SENEGAL;6;ÁFRICA;2;SANTA ROSA;TACNA;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;162;SENEGAL;6;ÁFRICA;3;DESAGUADERO;PUNO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;162;SENEGAL;6;ÁFRICA;4;KASANI;PUNO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;162;SENEGAL;6;ÁFRICA;5;CEBAF - TUMBES;TUMBES;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;162;SENEGAL;6;ÁFRICA;6;OTRAS OCM;-;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;163;SEYCHELLES;6;ÁFRICA;1;AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA Y CALLAO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;163;SEYCHELLES;6;ÁFRICA;2;SANTA ROSA;TACNA;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;163;SEYCHELLES;6;ÁFRICA;3;DESAGUADERO;PUNO;0;;EXCURSIONISTAS
