FECHA_CORTE,ANIO,ID_MES,MES,ID_PAIS,PAIS,ID_CONTINENTE,CONTINENTE,ID_OCM,OCM,DEPARTAMENTO_OCM,NUMERO_VISITANTES,TIPO_VISITANTE
20260330,2019,1,ENERO,25,BOLIVIA,3,AMÉRICA DEL SUR,6,OTRAS OCM,-,1590,TURISTAS
20260330,2019,1,ENERO,26,BOSNIA Y HERZEGOVINA,4,EUROPA,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,5,TURISTAS
20260330,2019,1,ENERO,26,BOSNIA Y HERZEGOVINA,4,EUROPA,2,SANTA ROSA,TACNA,0,TURISTAS
20260330,2019,1,ENERO,26,BOSNIA Y HERZEGOVINA,4,EUROPA,3,DESAGUADERO,PUNO,0,TURISTAS
20260330,2019,1,ENERO,26,BOSNIA Y HERZEGOVINA,4,EUROPA,4,KASANI,PUNO,0,TURISTAS
20260330,2019,1,ENERO,26,BOSNIA Y HERZEGOVINA,4,EUROPA,5,CEBAF - TUMBES,TUMBES,0,TURISTAS
20260330,2019,1,ENERO,26,BOSNIA Y HERZEGOVINA,4,EUROPA,6,OTRAS OCM,-,0,TURISTAS
20260330,2019,1,ENERO,27,BOTSWANA,6,ÁFRICA,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,1,TURISTAS
20260330,2019,1,ENERO,27,BOTSWANA,6,ÁFRICA,2,SANTA ROSA,TACNA,0,TURISTAS
20260330,2019,1,ENERO,27,BOTSWANA,6,ÁFRICA,3,DESAGUADERO,PUNO,0,TURISTAS
20260330,2019,1,ENERO,27,BOTSWANA,6,ÁFRICA,4,KASANI,PUNO,0,TURISTAS
20260330,2019,1,ENERO,36,CANADÁ,1,AMÉRICA DEL NORTE,5,CEBAF - TUMBES,TUMBES,128,TURISTAS
20260330,2019,1,ENERO,36,CANADÁ,1,AMÉRICA DEL NORTE,6,OTRAS OCM,-,319,TURISTAS
20260330,2019,1,ENERO,37,CEYLÁN,5,ASIA,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,0,TURISTAS
20260330,2019,1,ENERO,37,CEYLÁN,5,ASIA,2,SANTA ROSA,TACNA,0,TURISTAS
20260330,2019,1,ENERO,37,CEYLÁN,5,ASIA,3,DESAGUADERO,PUNO,0,TURISTAS
20260330,2019,1,ENERO,37,CEYLÁN,5,ASIA,4,KASANI,PUNO,0,TURISTAS
20260330,2019,1,ENERO,37,CEYLÁN,5,ASIA,5,CEBAF - TUMBES,TUMBES,0,TURISTAS
20260330,2019,1,ENERO,37,CEYLÁN,5,ASIA,6,OTRAS OCM,-,0,TURISTAS
20260330,2019,1,ENERO,38,CHAD,6,ÁFRICA,1,AEROPUERTO INTERNACIONAL JORGE CHÁVEZ,LIMA Y CALLAO,0,TURISTAS
